Name,Rating,Review_count,category,price_range,area
Folco’s Ristorante,4 star rating,84,Italian,$$$,Markham Village
Daan Go Cake Lab,4 star rating,317,Desserts,$$,Milliken
Wonton Chai Noodle,4 star rating,79,Chinese,$,
Olde Village Bistro,3.5 star rating,123,Breakfast & Brunch,$,Unionville
The Alley,3.5 star rating,87,Bubble Tea,$$,Unionville Mainstreet
Ajisen Ramen,3.5 star rating,191,Ramen,$$,
El Habanero & Churrobar,4.5 star rating,132,Cuban,$$,Milliken
Chris Jerk Caribbean Bistro,4.5 star rating,382,Caribbean,$$,Scarborough
Nichiban Sushi 4 U,4 star rating,161,Sushi Bars,$$,Milliken
Wiang Kuk Thai Food,4 star rating,78,Thai,$,Brown's Corners
Michidean Limited,4.5 star rating,39,Wholesale Stores,$,Milliken
KINTON RAMEN,3 star rating,236,Ramen,$$,
Toogood Pond,4.5 star rating,36,Parks,,ParksUnionville
Jim Chai Kee,4 star rating,324,Chinese,$,
Tracy Dessert,3.5 star rating,143,Desserts,$,Brown's Corners
Get & Go Buritto,4 star rating,93,Mexican,$,Unionville
Fresh Burger,4 star rating,299,Burgers,$$,
Matcha Tea & Dessert,3.5 star rating,193,Desserts,$,
Sugar Marmalade,3.5 star rating,158,Desserts,$$,Brown's Corners
Elegance Chinese Cuisine & Banquet,3.5 star rating,125,Dim Sum,$$,
IKON Sushi Bar & Lounge,4.5 star rating,36,Bars,,BarsSushi BarsJapaneseBrown's Corners
Tai Ping Hsiang,4 star rating,70,Taiwanese,$,
Starving Artist Waffles & Espresso,3.5 star rating,128,Breakfast & Brunch,$$,Unionville
Doner King,4.5 star rating,136,Donairs,$,Scarborough
Loui’s Kouzina,3.5 star rating,108,Cafes,$$,
Makirrito,4 star rating,79,Japanese,$$,
Wuhan Noodle 1950,4 star rating,57,Noodles,$,Brown's Corners
Green Grotto,3.5 star rating,169,Taiwanese,$$,
Paintlounge,4.5 star rating,44,Cafes,$$,Unionville
Cafe Hollywood,3 star rating,253,Chinese,$$,Milliken
Jin Korean Noodles,4.5 star rating,46,Korean,$$,
Pho Pad Thai,4 star rating,81,Vietnamese,$$,Buttonville
Firehouse Subs,4.5 star rating,40,Sandwiches,$$,
Le Cue,4.5 star rating,32,Lounges,$$,Buttonville
Bingz Crispy Burger,4 star rating,50,Burgers,,BurgersChineseBrown's Corners
Machi Machi,4.5 star rating,35,Bubble Tea,,Bubble TeaUnionville
Chat Bar,4 star rating,85,Bars,$$,Unionville Mainstreet
HKS BBQ & Noodle House,4 star rating,62,Barbeque,$,Brown's Corners
Cafe Alice,3.5 star rating,76,Cafes,$$,Unionville
Novita Italian Cuisine,3.5 star rating,116,Italian,$$,Brown's Corners
Wonton Hut,3.5 star rating,83,Chinese,$,Unionville
TP Tea,4.5 star rating,37,Bubble Tea,,Bubble Tea
Ambiyan,3.5 star rating,126,Indian,$$,Unionville Mainstreet
Oishiii Sweets,4.5 star rating,69,Desserts,,DessertsCustom CakesCoffee & TeaMilliken
Pizza Studio,4 star rating,55,Pizza,$$,Brown's Corners
